先生はジョンを叱った。|せんせいはジョンをしかった。
この賞は、生活者の目に触れるか触れないかは別として、人々の生活を豊かにする技術や発明に対して与えられる。|このしょうは、せいかつしゃのめにふれるかふれないかはべつとして、々ひとびとのせいかつをゆたかにするぎじゅつやはつめいにたいしてあたえられる。
単身赴任など仕事上の理由がある場合は別として、夫婦が5年間も別居しているのは尋常ではない。|たんしんふにんなどしごとじょうのりゆうがあるばあいはべつとして、ふうふが5ねんかんもべっきょしているのはじんじょうではない。
掲示板やチャンとで発言する際は、ごく親しい仲間内の場合は別として、丁寧な言葉遣いを心がけるべきだ。|けいじばんやチャンとではつげんするさいは、ごくしたしいなかまうちのばあいはべつとして、ていねいなことばづかいをこころがけるべきだ。
明日は午前中を除いて塞がっています。|あしたはごぜんじゅうをのぞいてふさがっています。
この店は月曜日以外は週六日間営業しています。|このみせはげつようびいがいはしゅうむいかかんえいぎょうしています。
友達を助けようという動機はいいとしてもやり方が間違っている。|ともだちをたすけようというどうきはいいとしてもやりかたがまちがっている。
私はいいとしても他の人がこの部屋では満足しないだろう。|わたしはいいとしてもほかのひとがこのへやではまんぞくしないだろう。
部屋が狭いのはいいとしても、エアコンがないのは困る。|へやがせまいのはいいとしても、エアコンがないのはこまる。
著作権のあるものは、個人用のコピーはいいとしても、それを他人に配布することは違法になります。|ちょさくけんのあるものは、こじんようのコピーはいいとしても、それをたにんにはいふすることはいほうになります。
街頭はいいとしても、電車やレストランなどの公共の場所で声高に携帯電話で話されるのは周りのものにとって極めて迷惑だ。|がいとうはいいとしても、でんしゃやレストランなどのこうきょうのばしょでこわだかにけいたいでんわではなされるのはまわりのものにとってきわめてめいわくだ。
このような結婚式では、結婚する本人たちはいいとしても両親が承知しないだろう。|このようなけっこんしきでは、けっこんするほんにんたちはいいとしてもりょうしんがしょうちしないだろう。
この店は安いから味が少しくらい悪いのはまあいいとしても、古い材料を使うのはやめてもらいたい。|このみせはやすいからあじがすこしくらいわるいのはまあいいとしても、ふるいざいりょうをつかうのはやめてもらいたい。
今の社宅は一般の賃貸に比べて格段に安いのであまり文句は言えないのだが、建物が古いのはいいとしても、傷んだところをなかなか補修してもらえないのは問題だ。|いまのしゃたくはいっぱんのちんたいにくらべてかくだんにやすいのであまりもんくはいえないのだが、たてものがふるいのはいいとしても、いたんだところをなかなかほしゅうしてもらえないのはもんだいだ。
ウイルスのために自分自身のコンピュータが使えなくなるのはいいとしても、何も対処しないで他の人にウイルスをまき散らすことは許されない。|ウイルスのためにじぶんじしんのコンピュータがつかえなくなるのはいいとしても、なにもたいしょしないでほかのひとにウイルスをまきちらすことはゆるされない。
部屋が狭いのはいいとして、エアコンがないのは困る。|へやがせまいのはいいとして、エアコンがないのはこまる。
部屋が狭いのは仕方がないとしても、エアコンがないのは困る。|へやがせまいのはしかたがないとしても、エアコンがないのはこまる。
インターネットはおろか、パソコンも触ったことがないのだが、講習会についていけるだろうか。|インターネットはおろか、パソコンもさわったことがないのだが、こうしゅうかいについていけるだろうか。
最近は大学生はおろか、中学生でもかなりの者が海外旅行を経験している。|さいきんはだいがくせいはおろか、ちゅうがくせいでもかなりのものがかいがいりょこうをけいけんしている。
アメリカでは、隣町まで１００マイル、途中ガソリンスタンドはおろか、民家さえないという場所がたくさんある。|アメリカでは、となりまちまでマイル、とちゅうガソリンスタンドはおろか、みんかさえないというばしょがたくさんある。
ハリス氏は日本の現代文学はおろか、古典にまで通じている。|ハリスしはにほんのげんだいぶんがくはおろか、こてんにまでつうじている。
「近くて遠い」。この表現は日本との国交がない北朝鮮はおろか、韓国との関係を指すのにもよく使われてきた。|「ちかくてとおい」。このひょうげんはにほんとのこっこうがないきたちょうせんはおろか、かんこくとのかんけいをさすのにもよくつかわれてきた。
英語を話すのが好きなだけで、英米の文学はおろか日本の文学もろくに読んでいない学生が英米文学専攻に入ってくると悲惨だ。|えいごをはなすのがすきなだけで、えいべいのぶんがくはおろかにほんのぶんがくもろくによんでいないがくせいがえいべいぶんがくせんこうにはいってくるとひさんだ。
企業は今、セキュリティのための支出を増やさなければ、セキュリティの強化はおろか、維持さえも難しくなっているという。|きぎょうはいま、セキュリティのためのししゅつをふやさなければ、セキュリティのきょうかはおろか、いじさえもむずかしくなっているという。
このサイトは検索はおろか、本の内容紹介までしてくれるので非常に便利だ。|このサイトはけんさくはおろか、ほんのないようしょうかいまでしてくれるのでひじょうにべんりだ。
戦争はおろか食糧難すら経験したことがない者が、口先だけで戦争を議論しているのは笑止だ。|せんそうはおろかしょくりょうなんすらけいけんしたことがないものが、くちさきだけでせんそうをぎろんしているのはしょうしだ。
私の上司は自信よく仕事をするだけでなく部下の面倒もよくみてくれる。|わたしのじょうしはじしんよくしごとをするだけでなくぶかのめんどうもよくみてくれる。
このレストランはおいしいのみならず値段も安い。|このレストランはおいしいのみならずねだんもやすい。
この辺りは不便なだけでなく環境も悪い。|このあたりはふべんなだけでなくかんきょうもわるい。
この店のサービスランチは値段の割にはおいしくてボリュームがある。|このみせのサービスランチはねだんのわりにはおいしくてボリュームがある。
ビルはよく勉強している割に成績が伸びない。|ビルはよくべんきょうしているわりにせいせきがのびない。
このチームは強い割には人気がない。|このチームはつよいわりにはにんきがない。
彼は大学で秀才だった割に実社会であまり成功していない。|かれはだいがくでしゅうさいだったわりにじっしゃかいであまりせいこうしていない。
彼女はすばらしい研究をしているが、その割には認められていない。|かのじょはすばらしいけんきゅうをしているが、そのわりにはみとめられていない。
清水さんは年の割には若く見える。|しみずさんはとしのわりにはわかくみえる。
この辺りはいつも海からの風があるので、強い日射しの割には過ごしやすい。|このあたりはいつもうみからのかぜがあるので、つよいひざしのわりにはすごしやすい。
このソフトは安い割には機能がよく、強い安いです。|このソフトはやすいわりにはきのうがよく、つよいやすいです。
この図書館は建物が立派な割には中の設備がよくない。|このとしょかんはたてものがりっぱなわりにはなかのせつびがよくない。
多くの人が「有機野菜」表示を気にする割には、その意味を知っている人は少ない。|おおくのひとが「ゆうきやさい」ひょうじをきにするわりには、そのいみをしっているひとはすくない。
シアトルなどの都市がある北部太平洋岸は比較的暖かく、緯度が北海道と変わらない割には冬の寒さも厳しくない。|シアトルなどのとしがあるほくぶたいへいようがんはひかくてきあたたかく、いどがほっかいどうとかわらないわりにはふゆのさむさもきびしくない。
記念すべきイベントの割には参加者が少なく物足りない気がする。|きねんすべきイベントのわりにはさんかしゃがすくなくものたりないきがする。
彼は自国の大学で英語を教えていると言っているが、その割には英語が下手だ。|かれはじこくのだいがくでえいごをおしえているといっているが、そのわりにはえいごがへただ。
彼女はすばらしい研究をしているが、それにしては認められていない。|かのじょはすばらしいけんきゅうをしているが、それにしてはみとめられていない。
直樹は子供にしては漢字をよく知っている。|なおきはこどもにしてはかんじをよくしっている。
飛行機は１２時間も遅れるわ荷物はなくなるわで、今度の旅行は最悪だった。|ひこうきはじかんもおくれるわにもつはなくなるわで、こんどのりょこうはさいあくだった。
客が来るわ来るわ、またたく間に小さい店はいっぱいになった。|きゃくがくるわくるわ、またたくまにちいさいみせはいっぱいになった。
仕事は増えるわ給料は下がるわ、今の状況は最悪だ。|しごとはふえるわきゅうりょうはさがるわ、いまのじょうきょうはさいあくだ。
クレジットカードをなくすわ怪我をするわで、今度のスキー旅行ではひどい目に遭った。|クレジットカードをなくすわけがをするわで、こんどのスキーりょこうではひどいめにあった。
新しく雇った学生アルバイトは、仕事は遅いわ文句は多いわで、とても強いものにならない。|あたらしくやとったがくせいアルバイトは、しごとはおそいわもんくはおおいわで、とてもつよいものにならない。
この辺りは買い物には不便だわ環境は悪いわ、何一ついいところがない。|このあたりはいかいものにはふべんだわかんきょうはわるいわ、なにひとついいところがない。
台所は何一つ手伝おうとしないわ、一緒に外食してもお金を払わないわ、もうあんな客は来てほしくない。|だいどころはなにひとつてつだおうとしないわ、いっしょにがいしょくしてもおかねをはらわないわ、もうあんなきゃくはきてほしくない。
面白い仕事はもらえるわ給料は上げてもらえるわ、新井君は最近いいことずくめだ。|おもしろいしごとはもらえるわきゅうりょうはあげてもらえるわ、あらいくんはさいきんいいことずくめだ。
辞書で「コウ」という発音の漢字を調べてみたら、あるわあるわ、全部で１７４も出ていた。|じしょで「コウ」というはつおんのかんじをしらべてみたら、あるわあるわ、ぜんぶでもでていた。
余程おなかが空いていたのだろう。食べるわ食べるわ、またたく間に多いな茶わんでご飯を５杯も平らげた。|よほどおなかがすいていたのだろう。たべるわたべるわ、またたくまにおおいなちゃわんでごはんをはいもたいらげた。
新しく雇った学生アルバイトは、仕事を怠けるやらよく文句を言うやらで、とても使いものにならない。|あたらしくやとったがくせいアルバイトは、しごとをなまけるやらよくもんくをいうやらで、とてもつかいものにならない。
会議やら講習会やらで最近出張が多い。|かいぎやらこうしゅうかいやらでさいきんしゅっちょうがおおい。
久子は来るやら来ないやら分からない。|ひさこはくるやらこないやらわからない。
その小説は発売されるやいなやミリオンセラーになった。|そのしょうせつははつばいされるやいなやミリオンセラーになった。
彼女は車から降りるやいなや報道陣やファンに取り囲まれた。|かのじょはくるまからおりるやいなやほうどうじんやファンにりとりかこまれた。
スタジオに着くやいなやリハーサルが始まった。|スタジオにつくやいなやリハーサルがはじまった。
秀夫はアパートに帰るやいなやベッドに倒れ込んだ。|ひでおはアパートにかえるやいなやベッドにれたおれこんだ。
母の顔を見るやいなや涙が込み上げてきた。|ははのかおをみるやいなやなみだがみこみあげてきた。
小池氏はメディアから批判されるや否や、手のひらを返すように音見を変えた。|こいけしはメディアからひはんされるやいなや、てのひらをかえすようにおとみをかえた。
ジョージは大学を卒業するや否やゲームソフトのビジネスを始めた。|ジョージはだいがくをそつぎょうするやいなやゲームソフトのビジネスをはじめた。
安くておいしいと評判のそのレストランは、朝１１時に開店するやいなや、常連客でいっぱいになった。|やすくておいしいとひょうばんのそのレストランは、あさじにかいてんするやいなや、じょうれんきゃくでいっぱいになった。
そのテレビドラマは１回目が放映されるや否や、国中に大きな韓国ブームを引き起こした。|そのテレビドラマはいっかいめがほうえいされるやいなや、くにちゅうにおおきなかんこくブームをきひきおこした。
ホテルに着いたらすぐ電話しなさい。|ホテルについたらすぐでんわしなさい。
ホテルに着いたらすぐに電話しよう。|ホテルについたらすぐにでんわしよう。
啓次はいつも家に帰ったらすぐシャワーを浴びる。|けいじはいつもいえにかえったらすぐシャワーをあびる。
友美は和男に会ったらすぐにそのことを話すだろう。|ゆみはかずおにあったらすぐにそのことをはなすだろう。
私は先生の顔を見るやいなや無意識に立ち上がっていた。|わたしはせんせいのかおをみるやいなやむいしきにちたちあがっていた。
教室に入るやいなや宿題を忘れたことを思い出した。|きょうしつにはいるやいなやしゅくだいをわすれたことをいおもいだした。
ジェーンはその写真を見た途端に気絶した。|ジェーンはそのしゃしんをみたとたんにきぜつした。
啓次は家に帰るやいなやシャワーを浴びた。|けいじはいえにかえるやいなやシャワーをあびた。
その店はバーゲンセールの日はいつも入り口のドアが開いた途端客が走り込む。|そのみせはバーゲンセールのひはいつもりいりくちのドアがひらいたとたんきゃくがりはしりこむ。
私は先生の顔を見た途端無意識に立ち上がっていた。|わたしはせんせいのかおをみたとたんむいしきにちたちあがっていた。
教室に入った途端に宿題を忘れたことを思い出した。|きょうしつにはいったとたんにしゅくだいをわすれたことをいおもいだした。
減量のためにダイエットをすると同時に運動もしている。|げんりょうのためにダイエットをするとどうじにうんどうもしている。
群集が遠くに見えると同時に太鼓の音も聞こえる。|ぐんしゅうがとおくにみえるとどうじにたいこのおともきこえる。
その小説は発売されるとすぐにミリオンセラーになった。|そのしょうせつははつばいされるとすぐにミリオンセラーになった。
彼女は車から隣りるとすぐ報道陣やファンに取り囲まれた。|かのじょはくるまからおりるとすぐほうどうじんやファンにりとりかこまれた。
スタジオに着くとすぐにリハーサルが始まった。|スタジオにつくとすぐにリハーサルがはじまった。
ホテルに着いたらすぐに電話して下さい。|ホテルについたらすぐにでんわしてください。
ホテルに着いたらすぐ電話しよう。|ホテルについたらすぐでんわしよう。
彼女が部屋から出てきた瞬間にカメラのシャッターを切ろう。|かのじょがへやからでてきたしゅんかんにカメラのシャッターをきろう。
カメラマンたちは、彼女が部屋から出てきた瞬間にカメラのシャッターを切るだろう。|カメラマンたちは、かのじょがへやからでてきたしゅんかんにカメラのシャッターをきるだろう。
彼女が部屋から出てきた瞬間にカメラのシャッターを切る。|かのじょがへやからでてきたしゅんかんにカメラのシャッターをきる。
私は彼女が部屋から出てきた瞬間にカメラのシャッターを切った。|わたしはかのじょがへやからでてきたしゅんかんにカメラのシャッターをきった。
私は犯人が後ろを向いた瞬間に飛びかかった。|わたしははんにんがうしろをむいたしゅんかんにとびかかった。
ラケットがボールに当たる瞬間にシャッターを切って下さい。|ラケットがボールにあたるしゅんかんにシャッターをきってください。
猫は鳥が飛び立つ瞬間に飛びついた。|ねこはとりがびとびたつしゅんかんにとびついた。
彼は優勝の瞬間に右の拳を天に突き上げた。|かれはゆうしょうのしゅんかんにみぎのこぶしをあまにきつきあげた。
離陸の瞬間にめまいを覚えた。|りりくのしゅんかんにめまいをおぼえた。
このビルが完成するのはいつになるのやら。|このビルがかんせいするのはいつになるのやら。
これから先、うちの会社は一体どうなることやら。|これからさき、うちのかいしゃはいったいどうなることやら。
こんな映画のどこがいいのやらさっぱり分からない。|こんなえいがのどこがいいのやらさっぱりわからない。
学生たちが何やら面白そうな計画をしている。|がくせいたちがなにやらおもしろそうなけいかくをしている。
競技場ははたしたオリンピック開会までに完成するのやら。|きょうぎじょうははたしたオリンピックかいかいまでにかんせいするのやら。
一体いつになったら自分の家が持てることやら。|いったいいつになったらじぶんのいえがもてることやら。
さっきまでの元気はどこへ行ったのやら。|さっきまでのげんきはどこへいったのやら。
どこが入り口やら分からずビルの周りを何度も回った。|どこがりいりくちやらわからずビルのまわりをなんどもまわった。
誰も名札をつけていないので誰が誰やらさっぱり分からない。|だれもなふだをつけていないのでだれがだれやらさっぱりわからない。
今日はどんなご馳走を食べさせてもらえるのやら、とても楽しみだ。|きょうはどんなごちそうをたべさせてもらえるのやら、とてもたのしみだ。
いつのまにやら外は暗くなっていた。|いつのまにやらそとはくらくなっていた。
あんな男のどこがいいのやら。|あんなおとこのどこがいいのやら。
この本はどこにしまえばいいのやら。|このほんはどこにしまえばいいのやら。
あの人にいつ会ったのやら全然覚えていない。|あのひとにいつあったのやらぜんぜんおぼえていない。
彼には何度裏切られたことやら。|かれにはなんどうらぎられたことやら。
夫ははたして無事に戦争から帰ってきてくれることやら。|おっとははたしてぶじにせんそうからかえってきてくれることやら。
この不況は一体いつまで続くのやら。|このふきょうはいったいいつまでつづくのやら。
今日はどんなものを食べさせられることやら。|きょうはどんなものをたべさせられることやら。
このホールの完成はいつになるのやら。|このホールのかんせいはいつになるのやら。
誰が手伝ってくれるのやら全然知らない。|だれがてつだってくれるのやらぜんぜんしらない。
この不況が一体いつまで続くのやら専門家にも全く予測がつかない。|このふきょうがいったいいつまでつづくのやらせんもんかにもまったくよそくがつかない。
今日はどんなご馳走を食べさせてもらえるのやら分からないが、とても楽しみだ。|きょうはどんなごちそうをたべさせてもらえるのやらわからないが、とてもたのしみだ。
エレベーターで誰やら知らない人に話しかけられた。|エレベーターでだれやらしらないひとにはなしかけられた。
どこかで大きな地震があったらしい。|どこかでおおきなじしんがあったらしい。
いつやらそういう話しを友達から聞いたことがある。|いつやらそういうはなしをともだちからきいたことがある。
どうやら電車に間にあった。|どうやらでんしゃにあいだにあった。
友美はパーティーに来られるだろうか。|ゆみはパーティーにきたられるだろうか。
友美がパーティーに来られるのやら。|ゆみがパーティーにきたられるのやら。
この論文はいつ書き上げられることやら。|このろんぶんはいつきかきあげられることやら。
明日のパーティーには誰が来るやら分からない。|あしたのパーティーにはだれがくるやらわからない。
私は会議やら講習会やらでこのところ出張が続いている。|わたしはかいぎやらこうしゅうかいやらでこのところしゅっちょうがつづいている。
みんなに自分の写真をほめられて嬉しいやら恥ずかしいやら変な気持ちでした。|みんなにじぶんのしゃしんをほめられてうれしいやらはずかしいやらへんなきもちでした。
今日は、上司に叱られるやら財布を落とすやらでさんざんな一日だった。|きょうは、じょうしにしかられるやらさいふをおとすやらでさんざんないちにちだった。
久子は来るやら来ないやら分からないから、もう行こう。|ひさこはくるやらこないやらわからないから、もういこう。
美術品のことは何も知らないので、この壷が安いのやら高いのやら全然見等がつかない。|びじゅつひんのことはなにもしらないので、このつぼがやすいのやらたかいのやらぜんぜんけんとうがつかない。
着替えやらお土産やらでスーツケースはもういっぱいになってしまった。|きがえやらおみやげやらでスーツケースはもういっぱいになってしまった。
趣味のことやら家族のことやらを時々ブログに書いている。|しゅみのことやらかぞくのことやらを々ときどきブログにかいている。
音を立ててスープを飲むやら口にものを入れたまま話すやら、直樹のテーブルマナーはひどかった。|おとをたててスープをのむやらくちにものをいれたままはなすやら、なおきのテーブルマナーはひどかった。
アンディと楽しそうにおしゃべりしている陽子が憎らしいやらねたましいやらで、人と話していても上の空だった。|アンディとたのしそうにおしゃべりしているようしがにくらしいやらねたましいやらで、ひととはなしていてものうわのそらだった。
彼女は日本語を話すそうだが、まだ話すのを聞いたことがないので、上手やら下手やら全く見当がつかない。|かのじょはにほんごをはなすそうだが、まだはなすのをきいたことがないので、じょうずやらへたやらまったくけんとうがつかない。
この仕事は自分にできるやらできないやら、やってみなければ分からない。|このしごとはじぶんにできるやらできないやら、やってみなければわからない。
彼はアメリカ生まれの生粋のアメリカ人だが、日本人なのやらアメリカ人なのやら分からないくらい、考え方が日本人的だ。|かれはアメリカうまれのきっすいのアメリカじんだが、にほんじんなのやらアメリカじんなのやらわからないくらい、えかんがえかたがにほんじんてきだ。
貸してもらえるのやらもらえないのやら分からないお金を当てにしているのはよくない。|かしてもらえるのやらもらえないのやらわからないおかねをあてにしているのはよくない。
私は電車かバスかで行くつもりだ。|わたしはでんしゃかバスかでいくつもりだ。
知らない単語が出てくるたびに辞書を引いているようではいつまでたっても速く読めない。|しらないたんごがでてくるたびにじしょをひいているようではいつまでたってもはやくよめない。
アパートがそんなに高いようでは私たちは東京には住めない。|アパートがそんなにたかいようではわたしたちはとうきょうにはすめない。
成績が今までのようでは困ります。|せいせきがいままでのようではこまります。
今からそんなに文句を言っているようでは、この仕事をやり遂げるのは難しいだろう。|いまからそんなにもんくをいっているようでは、このしごとをやりとげるのはむずかしいだろう。
困った時に助けてくれないようでは友達とは言えない。|こまったときにたすけてくれないようではともだちとはいえない。
朝が弱いようではこの仕事は無理でしょう。|あさがよわいようではこのしごとはむりでしょう。
千円程度の旅費払い戻しに４枚も５枚も書類が必要なようでは問題だ。|せんえんていどのりょひいはらいもどしにまいもまいもしょるいがひつようなようではもんだいだ。
今頃そんなことをしているようでは、とても締め切りに間に合わない。|いまごろそんなことをしているようでは、とてもめしめきりににあいだにあわない。
部下の面倒が見られないようでは上司失格だ。|ぶかのめんどうがみられないようではじょうししっかくだ。
大学の施設が現状のようでは、せっかく研究資金を増やしても有効に活用できない。|だいがくのしせつがげんじょうのようでは、せっかくけんきゅうしきんをふやしてもゆうこうにかつようできない。
次の試合も今日の試合のようでは、とても決勝には進めない。|つぎのしあいもきょうのしあいのようでは、とてもけっしょうにはすすめない。
委員長が病気では会議は開けない。|いいんちょうがびょうきではかいぎはあけない。
今回の実験が失敗ではこのプロジェクトを続けるわけにはいかない。|こんかいのじっけんがしっぱいではこのプロジェクトをつづけるわけにはいかない。
山野氏は非常に時間に厳しい人で、面会時間に５分も遅れようものなら以後二度と会ってはもらえない。|やまのしはひじょうにじかんにきびしいひとで、めんかいじかんにふんもおくれようものならいごどとあってはもらえない。
私はたばこの煙に特に敏感で、近くで座れようものならもう何事にも集中できなくなってしまう。|わたしはたばこのけむりにとくにびんかんで、ちかくですわれようものならもうなにごとにもしゅうちゅうできなくなってしまう。
ニューヨークでは信号が青に変わって一秒でも発進が遅れようものなら、すかさず後ろからクラクションを鳴らされる。|ニューヨークではしんごうがあおにかわっていちびょうでもはっしんがおくれようものなら、すかさずうしろからクラクションをならされる。
この島は、晴れていれば散歩や海水浴などが楽しめるが、雨に降られようものなら何もやることがなくなる。|このしまは、はれていればさんぽやかいすいよくなどがたのしめるが、あめにふられようものならなにもやることがなくなる。
この飛行機は前の座席との間隔が極端に狭いので、私のように大きい人間は、前の人に椅子を倒されようものなら、文字通り身動きできなくなってしまう。|このひこうきはまえのざせきとのかんかくがきょくたんにせまいので、わたしのようにおおきいにんげんは、まえのひとにいすをたおされようものなら、もじどおりみうごきできなくなってしまう。
最近頻繁にやってくる訪問販売は頭痛の種です。断っても簡単には帰りませんし、うっかり家の中に入れようものなら買うまで帰りません。|さいきんひんぱんにやってくるほうもんはんばいはずつうのたねです。ことわってもかんたんにはかえりませんし、うっかりいえのなかにいれようものならかうまでかえりません。
花粉症の季節にうっかりバイクで出かけようものなら、走行中にくしゃみ連発でフルフェイスのヘルメットの中は悲惨な状態になる。|かふんしょうのきせつにうっかりバイクででかけようものなら、そうこうちゅうにくしゃみれんぱつでフルフェイスのヘルメットのなかはひさんなじょうたいになる。
この魚は猛毒を持っていて、間違ってそのトゲに刺されようものなら、患部が大きく腫れ上がってしまう。|このさかなはもうどくをもっていて、まちがってそのトゲにさされようものなら、かんぶがおおきくれはれあがってしまう。
田村さんは最近漢方医学に凝っていて、うっかりそのことを聞こうものなら、たっぷり一時間はその効用を聞くはめになる。|たむらさんはさいきんかんぽういがくにこっていて、うっかりそのことをきこうものなら、たっぷりじかんはそのこうようをきくはめになる。
テストの成績が悪かったりしたら、今月の小遣いをもらえないかもしれない。|テストのせいせきがわるかったりしたら、こんげつのこづかいをもらえないかもしれない。
客が外国人だったりしたら、私は緊張してしまった何も話せなくなる。|きゃくががいこくじんだったりしたら、わたしはきんちょうしてしまったなにもはなせなくなる。
徹に連絡しようにも電話番号もメールアドレスも知らない。|とおるにれんらくしようにもでんわばんごうもメールアドレスもしらない。
ひどく頭が痛くて起きようにも起きられない。|ひどくあたまがいたくておきようにもおきられない。
記事を書こうにも書く材料がない。|きじをかこうにもかくざいりょうがない。
すしを作ろうにも材料が手に入らない。|すしをつくろうにもざいりょうがてにはいらない。
苦情を言おうにも誰に言っていいか分からなかった。|くじょうをいおうにもだれにいっていいかわからなかった。
体を動かそうにもあちこち痛くて腕も上げられない。|からだをうごかそうにもあちこちいたくてうでもあげられない。
母は僕の日本人のガールフレンドと話そうにも日本語ができなかった。|はははぼくのにほんじんのガールフレンドとはなしそうにもにほんごができなかった。
気の毒に彼女は悩み事を相談しようにも相談できる人が近くにいない。|のきのどくにかのじょはなやみごとをそうだんしようにもそうだんできるひとがちかくにいない。
カウンセリングに行こうにも、その質や学派も様々でついつい懐疑的になってしまいます。|カウンセリングにいこうにも、そのしつやがくはも々さまざまでついついかいぎてきになってしまいます。
その本は買おうにも絶版だった。|そのほんはかおうにもぜっぱんだった。
携帯電話の電池が切れたので、電話をかけようにもかけられない。|けいたいでんわのでんちがきれたので、でんわをかけようにもかけられない。
記事を書こうにも書く材料がないだろう？|きじをかこうにもかくざいりょうがないだろう
その仕事を一人でしようったってそれは無理だ。|そのしごとをひとりでしようったってそれはむりだ。
そんなことを信じさせようったって誰が信じるものか。|そんなことをしんじさせようったってだれがしんじるものか。
僕にお金を借りようったって無駄だよ。|ぼくにおかねをかりようったってむだだよ。
徹に連絡しようったって電話番号もメールアドレスも知らない。|とおるにれんらくしようったってでんわばんごうもメールアドレスもしらない。
公共の交通機関がないので、自分の車で行くよりほかにはない。|こうきょうのこうつうきかんがないので、じぶんのくるまでいくよりほかにはない。
新聞はニューヨークタイムズのほかは読まない。|しんぶんはニューヨークタイムズのほかはよまない。
アルバイトの仕事が駄目になったので、両親にお金を借りるよりほかになかった。|アルバイトのしごとがだめになったので、りょうしんにおかねをかりるよりほかになかった。
友人がどうして気が狂ってしまったのかは推測するよりほかにはない。|ゆうじんがどうしてきがくるってしまったのかはすいそくするよりほかにはない。
信号機の故障で電車が止まってしまった以上、待っているよりほかない。|しんごうきのこしょうででんしゃがとまってしまったいじょう、まっているよりほかない。
国際的に活躍したければ英語を学ぶよりほかはないだろう。|こくさいてきにかつやくしたければえいごをまなぶよりほかはないだろう。
秩序を回復するには権威の力を直接見せ付けた容赦ない手段をとるよりほかはない。|ちつじょをかいふくするにはけんいのちからをちょくせつせみせつけたようしゃないしゅだんをとるよりほかはない。
モーツアルトが３５年の生涯に６００曲以上の作品を書いたというのには、ただただ驚くよりほかはない。|モーツアルトがねんのしょうがいにきょくいじょうのさくひんをかいたというのには、ただただおどろくよりほかはない。
典型的な科学者のイメージに合う人はアインシュタインのほかにはいない。|てんけいてきなかがくしゃのイメージにあうひとはアインシュタインのほかにはいない。
学会に出席している学者は数人のほかは面識がなかった。|がっかいにしゅっせきしているがくしゃはすうにんのほかはめんしきがなかった。
この度は本社営業部長にご栄転の由、誠におめでとう存じます。|このたびはほんしゃえいぎょうぶちょうにごえいてんのよし、まことにおめでとうぞんじます。
地球環境保護の国際会議が来年当市で開催される由である。|ちきゅうかんきょうほごのこくさいかいぎがらいねんとうしでかいさいされるよしである。
野沢先生は来年一年ドイツにいらっしゃる由、伺っております。|のざわせんせいはらいねんねんドイツにいらっしゃるよし、うかがっております。
第一子御出産の由、心からお祝い申し上げます。|だいいっしごしゅっさんのよし、こころからおいわいしもうしあげます。
当ホテルでのご滞在が快適でなかった由、誠に申し訳なく存じます。|とうホテルでのごたいざいがかいてきでなかったよし、まことにしもうしわけなくぞんじます。
交通事故のこと伺いました。お怪我などなかった由、ほっといたしております。|こうつうじこのことうかがいました。おけがなどなかったゆかり、ほっといたしております。
石垣島は運よく台風の通過コースからはずれたため被害は少なかった由。|いしがきじまはうんよくたいふうのつうかコースからはずれたためひがいはすくなかったよし。
日本消費者連盟は、一部ウイスキーの不正表示に関して、公正取引委員会に申し入れる由である。|にほんしょうひしゃれんめいは、いちぶウイスキーのふせいひょうじにかんして、こうせいとりひきいいんかいにしもうしいれるよしである。
懇親会にご出席の由、吉本君から連絡を受けました。|こんしんかいにごしゅっせきのよし、よしもとくんかられんらくをうけました。
平井さんが３時にいらっしゃるとのことです。|ひらいさんがじにいらっしゃるとのことです。
人が何と言おうと、私は自分の子供を信じている。|ひとがなんといおうと、わたしはじぶんのこどもをしんじている。
頑固と言われようが馬鹿と言われようが、私は自分の信じることをやります。|がんこといわれようがばかといわれようが、わたしはじぶんのしんじることをやります。
あの教授は学生が分かろうと分かるまいと、かまわず授業を進めていく。|あのきょうじゅはがくせいがわかろうとわかるまいと、かまわずじゅぎょうをすすめていく。
報酬が多かろうが少なかろうが、私はやるべきことをやるだけだ。|ほうしゅうがおおかろうがすくなかろうが、わたしはやるべきことをやるだけだ。
英語が上手だろうと下手だろうとそういうことは関係ない。|えいごがじょうずだろうとへただろうとそういうことはかんけいない。
プロの作品だろうが素人の作品だろうがいいものは採用する。|プロのさくひんだろうがしろうとのさくひんだろうがいいものはさいようする。
人が何をしようと大きなお世話だ。|ひとがなにをしようとおおきなおせわだ。
費用がいくらかかろうとかまわない。何としてもこの訴訟に勝たなければならない。|ひようがいくらかかろうとかまわない。なんとしてもこのそしょうにかたなければならない。
彼はみんなが聞いていようがおかまいなしで、上司の悪口を言っている。|かれはみんながきいていようがおかまいなしで、じょうしのわるぐちをいっている。
自分の子供たちが走り回ろうが飲み物をこぼそうが、親たちは叱りもしないで自分達の話に夢中になっている。|じぶんのこどもたちがりはしりまわろうがみのみものをこぼそうが、おやたちはしかりもしないでじぶんたちのはなしにむちゅうになっている。
彼女が結婚しようがするまいが、そんなことは私には関係ないことだ。|かのじょがけっこんしようがするまいが、そんなことはわたしにはかんけいないことだ。
高かろうが安かろうが、必要なものなら買えばいい。|たかかろうがやすかろうが、ひつようなものならかえばいい。
