先生はジョンを叱った。|せんせいはジョンをしかった。
日本人だけでなくアメリカ人もよく働きます。|にほんじんだけでなくアメリカじんもよくきはたらきます。
中村さんはアメリカやヨーロッパだけではなく東南アジアにもよく出張します。|なかむらさんはアメリカやヨーロッパだけではなくアジアとうなんあじあにもよくしゅっちょうします。
ジョンソンさんは日本語だけではなく中国語も話せます。|ジョンソンさんはにほんごだけではなくちゅうごくごもせはなせます。
手紙は友達だけではなく先生からも来ました。|てがみはともだちだけではなくせんせいからもまきました。
手紙は友達だけではなく先生にも書きました。|てがみはともだちだけではなくせんせいにもきかきました。
明日までに十課だけでなく十一課も勉強しておきなさい。|あしたまでにじゅっかだけでなくじゅういっかもべんきょうしておきなさい。
アンダーソンさんは日本へ行くでしょう。|アンダーソンさんはにほんへくいくでしょう。
あのアパートは高いでしょう。|あのアパートはいたかいでしょう。
ロジャーはスキーが上手だろう。|ロジャーはスキーがじょうずだろう。
あの人は中国人だろう。|あのひとはちゅうごくじんだろう。
アンダーソンさんは多分日本へ行くだろう。|アンダーソンさんはたぶんにほんへくいくだろう。
アンダーソンさんはきっと日本へ行くだろう。|アンダーソンさんはきっとにほんへいくだろう。
大丈夫ですか。|だいじょうぶですか。
大丈夫でしょうか。|だいじょうぶでしょうか。
君も行くだろう。|きみもくいくだろう。
これ、きれいでしょう。|これ、きれいでしょう。
君も行くね。|きみもくいくね。
車が動き出した。|くるまがきうごきしだした。
急に雨が降り出した。|にきゅうにあめがりふりしだした。
一歳になって初めて歩き出した。|いっさいになってめてはじめてきあるきしだした。
そのアイディアは誰が考え出したんですか。|そのアイディアはがだれがえかんがえしだしたんですか。
一時間ぐらいかけてとうとうその本屋を探し出した。|いちじかんぐらいかけてとうとうそのほんやをしさがししだした。
そろそろ歩き始めましょうか。|そろそろきあるきめはじめましょうか。
私達が歩き始めた時山田達が来た。|わたしたちがきあるきめはじめたときやまだたちがたきた。
私達が歩き出した時山田達が来た。|わたしたちがきあるきしだしたときやまだたちがたきた。
どうしてか分からなかったが、男は急に怒り出した。|どうしてかかわからなかったが、おとこはにきゅうにりいかりしだした。
私達は喫茶店でコーヒーを飲んだ。|わたしたちはきっさてんでコーヒーをんのんだ。
ゆり子はデパートで働いています。|ゆりこはデパートでいはたらいています。
オーストラリアでは十二月は夏だ。|オーストラリアではじゅうにがつはなつだ。
島崎さんは日本では元気でした。|しまざきさんはにほんではげんきでした。
ヘレンは始めて舞台で歌った。|ヘレンははじめてぶたいでうたった。
今晩ジムの家でパーティーがあります。|こんばんジムのいえでパーティーがあります。
昨日この部屋でプライス先生の講演があった。|きのうこのへやでプライスせんせいのこうえんがあった。
宮本さんは毎日バスで会社へ行きます。|みやもとさんはまいにちバスでかいしゃへきいきます。
日本人は箸でご飯を食べる。|にほんじんははしでごはんをたべる。
私達は日本語で話した。|わたしたちはにほんごでしはなした。
私はその映画をテレビで見ました。|わたしはそのえいがをテレビでまみました。
豆腐は大豆で作ります。|とうふはだいずでりつくります。
ラリーはこのいすを十ドルで買った。|ラリーはこのいすをじゅうドルでかった。
ベッツィーはそのレポートを一日で書いたそうだ。|ベッツィーはそのレポートをいちにちでいかいたそうだ。
本田さんは何で大阪へ行くんですか。|ほんださんはでなんでおおさかへくいくんですか。
私達はタクシを使って来ました。|わたしたちはタクシをってつかってまきました。
私達はタクシで来ました。|わたしたちはタクシでまきました。
私は子供を使って家具を動かした。|わたしはこどもをってつかってかぐをかうごかした。
山口さんは病気で学校を休んだ。|やまぐちさんはびょうきでがっこうをんやすんだ。
明日は期末試験で大変です。|あしたはきまつしけんでたいへんです。
大雨で橋が壊れた。|おおあめではしがれこわれた。
